Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - DM4MILL - Each Hour,Windows - Chrome 133.0.0.0,,,13-03-2025 10:36:21,13-03-2025 10:42:15,5m - 53.606s,FAILED
,,,,,,,
Test Cases/DM4MILL - Goods Receipts,Windows - Chrome 133.0.0.0,,DM4MILL - GR,13-03-2025 10:40:41,13-03-2025 10:42:15,1m - 33.865s,FAILED
"openBrowser(""https://dlwr-dmc-discovery.execution.us10-quality.web.dmc.cloud.sap/cp.portal/site#Shell-home"")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:41,13-03-2025 10:40:47,5.498s,PASSED
maximizeWindow(),Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:47,13-03-2025 10:40:47,0.379s,PASSED
"enhancedClick(findTestObject(""Object Repository/Page_Login/a_Default Identity Provider""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:47,13-03-2025 10:40:49,1.900s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In/input_Email or User Name_j_username""), ""julie.hoste@delaware.pro"")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:49,13-03-2025 10:40:50,0.883s,PASSED
delay(2),Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:50,13-03-2025 10:40:52,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In/button_Continue""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:52,13-03-2025 10:40:54,1.730s,PASSED
delay(2),Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:54,13-03-2025 10:40:56,2.002s,PASSED
"enhancedClick(findTestObject(""Object Repository/Page_SAP Universal ID/button_I accept all cookies""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:56,13-03-2025 10:40:56,0.727s,PASSED
delay(2),Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:56,13-03-2025 10:40:58,2.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SAP Universal ID/input_pro_password""), ""UB7+rfb8H+So++oIaShgEQ=="")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:58,13-03-2025 10:40:59,0.711s,PASSED
"click(findTestObject(""Object Repository/Page_SAP Universal ID/button_Sign in_1""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:59,13-03-2025 10:40:59,0.001s,NOT_RUN
"setEncryptedText(findTestObject(""Object Repository/Page_SAP Universal ID/input_pro_password""), ""UB7+rfb8H+So++oIaShgEQ=="")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:59,13-03-2025 10:40:59,0.000s,NOT_RUN
"click(findTestObject(""Object Repository/Page_SAP Universal ID/button_Sign in_1""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:59,13-03-2025 10:40:59,0.473s,PASSED
delay(4),Windows - Chrome 133.0.0.0,,,13-03-2025 10:40:59,13-03-2025 10:41:03,4.002s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Home/div_DM4Mill GR Good Receipts""), 0)",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:03,13-03-2025 10:41:12,8.535s,PASSED
"click(findTestObject(""Object Repository/Page_Home/span_DM4Mill GR""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:12,13-03-2025 10:41:16,4.107s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Home/span_DM4Mill GR""), 3)",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:16,13-03-2025 10:41:17,0.712s,PASSED
delay(4),Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:17,13-03-2025 10:41:21,4.002s,PASSED
"enhancedClick(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/span_Work Center___xmlview100--reservedComp_9efbcc""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:21,13-03-2025 10:41:24,3.036s,PASSED
"setText(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/input_Select Work Center___xmlview100--rese_915078""), ""43"")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:24,13-03-2025 10:41:25,0.828s,PASSED
delay(3),Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:25,13-03-2025 10:41:28,3.002s,PASSED
"enhancedClick(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/div_Clear___xmlview100--reservedComponentCo_b6c65f""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:28,13-03-2025 10:41:28,0.444s,PASSED
"enhancedClick(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/bdi_Select""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:28,13-03-2025 10:41:29,0.456s,PASSED
delay(2),Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:29,13-03-2025 10:41:31,2.002s,PASSED
"setText(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/input_Order ID___xmlview100--reservedCompon_66eb78""), ""1003344"")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:31,13-03-2025 10:41:31,0.870s,PASSED
"enhancedClick(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/span_Go""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:31,13-03-2025 10:41:32,0.583s,PASSED
"click(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/td_1003344_1_2""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:32,13-03-2025 10:41:34,2.465s,PASSED
"click(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/span_Mill Goods Receipt""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:34,13-03-2025 10:41:36,1.694s,PASSED
delay(2),Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:36,13-03-2025 10:41:38,2.001s,PASSED
"clearText(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/input_GR Qty_DETAILSView--icontabfilterCSGX_c763b3""), STOP_ON_FAILURE)",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:38,13-03-2025 10:41:39,0.516s,PASSED
"setText(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/input_GR Qty_DETAILSView--icontabfilterCSGX_c763b3""), ""1"")",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:39,13-03-2025 10:41:40,0.930s,PASSED
"click(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/span_Post GR""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:40,13-03-2025 10:41:40,0.420s,PASSED
delay(3),Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:40,13-03-2025 10:41:43,3.001s,PASSED
"click(findTestObject(""Object Repository/Page_DDE_DM4MILL_GR_FINAL/span_""))",Windows - Chrome 133.0.0.0,,,13-03-2025 10:41:43,13-03-2025 10:42:15,31.923s,FAILED
